id,name,fapi_thscode,match,overlap,close_align,close_rate
thsc_300816,机器人概念,885517.TI,OK,45,45,100.0
thsc_309119,人形机器人,886069.TI,OK,45,45,100.0
thsc_308700,第三代半导体,885908.TI,OK,45,45,100.0
thsc_309049,共封装光学(CPO),886033.TI,OK,45,45,100.0
thsc_301085,芯片概念,885756.TI,OK,45,45,100.0
thsc_307940,存储芯片,886042.TI,OK,45,45,100.0
thsc_302035,人工智能,885728.TI,OK,45,45,100.0
thsc_309068,算力租赁,886050.TI,OK,45,45,100.0
thsc_308828,东数西算(算力),885957.TI,OK,45,45,100.0
thsc_309020,信创,886013.TI,OK,45,45,100.0
thsc_309060,数据要素,886041.TI,OK,45,45,100.0
thsc_300008,新能源汽车,885431.TI,OK,45,45,100.0
thsc_301079,光伏概念,885531.TI,OK,45,45,100.0
thsc_300733,锂电池概念,885710.TI,OK,45,45,100.0
thsc_306380,储能,885921.TI,OK,45,45,100.0
thsc_308294,固态电池,886032.TI,OK,45,45,100.0
thsc_309115,低空经济,886067.TI,OK,45,45,100.0
thsc_308014,创新药,886015.TI,OK,45,45,100.0
thsc_300082,军工,885700.TI,OK,45,45,100.0
thsc_300830,量子科技,885730.TI,OK,45,45,100.0
thsc_308725,汽车芯片,885945.TI,OK,45,45,100.0
thsc_308300,MCU芯片,885925.TI,OK,45,45,100.0
thsc_309113,飞行汽车(eVTOL),886066.TI,OK,45,45,100.0
thsc_308491,氢能源,885823.TI,OK,45,45,100.0
thsc_308870,数字经济,885976.TI,OK,45,45,100.0
thsc_308752,元宇宙,885934.TI,OK,45,45,100.0
thsc_309128,军工信息化,886076.TI,OK,45,45,100.0
